## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_11_1.bam OUTPUT=out___/s_RA17_22_11_1___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 16:05:39 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	69.831762	18.979045	71	8	0.042293	0	0.00048	0.020062	0.040542	0.015999	0.119377	0.979213	0.976833	0.974854	0.972955	0.970928	0.968522	0.960416	0.930789	0.810438	0.534645	0.239949	0.08015	0.024933

## HISTOGRAM	java.lang.Integer
coverage	count
0	50578907
1	3617539
2	2417234
3	1972011
4	1707068
5	1560289
6	1448340
7	1360629
8	1291785
9	1239690
10	1199348
11	1169653
12	1145871
13	1119939
14	1105588
15	1098190
16	1094954
17	1096147
18	1105871
19	1113199
20	1124392
21	1144953
22	1170172
23	1200510
24	1238491
25	1279519
26	1330006
27	1386746
28	1453760
29	1529274
30	1621257
31	1716006
32	1828558
33	1961390
34	2119910
35	2306170
36	2524347
37	2794964
38	3117970
39	3519884
40	4007586
41	4596441
42	5309188
43	6169798
44	7190137
45	8396037
46	9812877
47	11474522
48	13382897
49	15592415
50	18100851
51	20946091
52	24130106
53	27666706
54	31566482
55	35793877
56	40311710
57	45117738
58	50137902
59	55297000
60	60504355
61	65680888
62	70734004
63	75533396
64	79982088
65	83967055
66	87386708
67	90196157
68	92299504
69	93636278
70	94224919
71	94016319
72	93077941
73	91414710
74	89087107
75	86160247
76	82741019
77	78923242
78	74747286
79	70352631
80	65825713
81	61243588
82	56652696
83	52143171
84	47748822
85	43520736
86	39507946
87	35739121
88	32193843
89	28911016
90	25862375
91	23081502
92	20536077
93	18238781
94	16151438
95	14282096
96	12604670
97	11094560
98	9751111
99	8551965
100	7486751
101	6552565
102	5737517
103	5015346
104	4383870
105	3829632
106	3342978
107	2922082
108	2558966
109	2238350
110	1961157
111	1721392
112	1510213
113	1329768
114	1172147
115	1035970
116	918985
117	817525
118	728556
119	653824
120	590246
121	531761
122	482374
123	440029
124	402978
125	369671
126	341710
127	317428
128	296738
129	277377
130	261075
131	246895
132	234607
133	224618
134	213934
135	206174
136	198676
137	191468
138	185080
139	179272
140	173709
141	167855
142	163512
143	158048
144	153099
145	150275
146	145419
147	142768
148	138984
149	135721
150	132481
151	129421
152	125751
153	123306
154	120467
155	117668
156	114914
157	112946
158	109388
159	107220
160	105333
161	102600
162	99443
163	97859
164	95654
165	92885
166	90803
167	89238
168	87814
169	86101
170	84555
171	82538
172	81520
173	79839
174	78246
175	77029
176	75577
177	74688
178	73015
179	72132
180	70943
181	69262
182	68088
183	67089
184	65429
185	64656
186	63216
187	62536
188	61200
189	60194
190	59103
191	58155
192	56538
193	56023
194	55074
195	53662
196	52604
197	51933
198	50799
199	49546
200	48713
201	47938
202	46656
203	45754
204	44599
205	43268
206	42390
207	41611
208	41034
209	39942
210	38883
211	37848
212	37018
213	36697
214	35169
215	34607
216	34004
217	32728
218	32074
219	31263
220	30778
221	30147
222	29561
223	28703
224	28131
225	27664
226	27314
227	26751
228	26480
229	25995
230	25460
231	24994
232	24318
233	24132
234	23442
235	23346
236	23204
237	22799
238	22550
239	22278
240	22044
241	22007
242	21549
243	21040
244	20897
245	20489
246	20541
247	20237
248	19911
249	20102
250	3041810

