## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_24_3.bam OUTPUT=out___/s_RA17_22_24_3___GCB.txt CHART_OUTPUT=out___/s_RA17_22_24_3___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_24_3___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 18:32:30 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	55110	16	0.599884	0.002555
1	108735	17241	15	0.255198	0.001944
2	125328	21728	16	0.279033	0.001893
3	161707	63176	18	0.628793	0.002502
4	172430	42217	16	0.394057	0.001918
5	176048	46130	16	0.421732	0.001964
6	197132	57237	16	0.467309	0.001953
7	207827	70240	17	0.54396	0.002052
8	233446	88304	16	0.608805	0.002049
9	260866	109172	17	0.673563	0.002039
10	302776	140493	17	0.746823	0.001992
11	366886	180101	17	0.790077	0.001862
12	475988	240493	18	0.813188	0.001658
13	625806	333696	19	0.858214	0.001486
14	884586	460169	20	0.837263	0.001234
15	1299770	695107	20	0.860735	0.001032
16	1939300	1069507	21	0.887612	0.000858
17	2908647	1713978	21	0.948416	0.000724
18	4359342	2594168	21	0.957771	0.000595
19	6430002	3857572	22	0.965578	0.000492
20	9284118	5595128	22	0.96996	0.00041
21	13051720	7825682	22	0.965026	0.000345
22	17810187	10506204	22	0.949428	0.000293
23	23626936	13657298	22	0.93034	0.000252
24	30480566	17253404	23	0.911038	0.000219
25	38211236	21373642	23	0.900268	0.000195
26	46523994	25778372	24	0.891791	0.000176
27	55206768	30486478	24	0.888791	0.000161
28	63974508	35346467	24	0.889249	0.00015
29	72527056	40225676	24	0.892664	0.000141
30	80679703	44927934	24	0.896265	0.000134
31	88258407	49556965	24	0.903718	0.000128
32	94991572	54181544	24	0.918017	0.000125
33	100740761	58765980	24	0.93887	0.000122
34	105345024	63312040	23	0.96729	0.000122
35	108891484	67768616	23	1.001657	0.000122
36	111158823	71419467	23	1.034087	0.000122
37	111918627	74019643	22	1.064459	0.000124
38	110882356	75594010	22	1.09726	0.000126
39	108379615	75756212	21	1.125007	0.000129
40	104836501	73678426	21	1.13113	0.000132
41	100572106	69767926	21	1.11651	0.000134
42	95856492	65080552	21	1.092733	0.000135
43	91174666	60576770	21	1.069342	0.000137
44	86951806	55891306	22	1.034547	0.000138
45	83368003	52379721	22	1.011226	0.00014
46	80367152	49023971	23	0.981781	0.00014
47	77839892	47115619	23	0.974198	0.000142
48	75195920	45232767	23	0.968152	0.000144
49	71904126	43056213	23	0.963755	0.000147
50	67723470	40447804	23	0.961259	0.000151
51	62843327	37345308	23	0.956448	0.000157
52	57797477	34262243	23	0.954095	0.000163
53	53096114	31455799	23	0.953504	0.00017
54	48909387	29068458	23	0.956565	0.000177
55	45220793	27036190	23	0.962259	0.000185
56	41676495	25105305	23	0.969525	0.000193
57	37911902	23017754	23	0.977174	0.000204
58	33761496	20657218	23	0.98477	0.000217
59	29258970	18078736	23	0.994474	0.000234
60	24743566	15483634	22	1.007152	0.000256
61	20577658	13062678	22	1.021694	0.000283
62	17020594	11010160	22	1.041126	0.000314
63	14078001	9293868	22	1.062527	0.000349
64	11648917	7860516	22	1.08605	0.000387
65	9624766	6619917	21	1.106998	0.00043
66	7943555	5577179	21	1.130015	0.000478
67	6468111	4622807	21	1.150304	0.000535
68	5185515	3796299	21	1.178292	0.000605
69	4154938	3089114	21	1.196614	0.000681
70	3335654	2506422	20	1.209366	0.000764
71	2671391	2016946	20	1.215182	0.000856
72	2159293	1646127	20	1.226977	0.000956
73	1761243	1372053	20	1.253823	0.00107
74	1448491	1158506	20	1.287262	0.001196
75	1216775	1008004	19	1.333326	0.001328
76	1047070	869247	19	1.33614	0.001433
77	919438	782472	19	1.369717	0.001548
78	816646	709580	19	1.398466	0.00166
79	713614	615465	18	1.388112	0.001769
80	608483	523869	18	1.385667	0.001914
81	510800	457128	18	1.440361	0.00213
82	428056	388366	18	1.460243	0.002343
83	351779	330241	18	1.510934	0.002629
84	274259	284816	17	1.671429	0.003132
85	198758	213385	17	1.727921	0.003741
86	131616	161243	17	1.971772	0.00491
87	85463	113052	17	2.129044	0.006332
88	58702	72438	17	1.986086	0.007379
89	38045	55390	16	2.343248	0.009956
90	24959	33110	16	2.135092	0.011734
91	15854	44180	16	4.485092	0.021338
92	9379	14532	15	2.493753	0.020687
93	5880	10992	15	3.008735	0.028698
94	3408	15208	15	7.182192	0.05824
95	1663	424418	16	410.758027	0.630506
96	986	102703	16	167.645048	0.523117
97	658	1137511	15	2782.365796	2.608774
98	328	561196	15	2753.754612	3.675936
99	133	223714	15	2707.235501	5.723734
100	339	167	14	0.792869	0.061354


