## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_24_3.bam] OUTPUT=out___/s_RA17_22_24_3___MD.bam METRICS_FILE=out___/s_RA17_22_24_3___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 18:32:31 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_24_3	1586521	896352834	2078921	725531	69378065	47072210	0.077736	15883547607

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.053878
2.0	2.049929
3.0	2.991327
4.0	3.88107
5.0	4.721993
6.0	5.516775
7.0	6.267947
8.0	6.977903
9.0	7.648903
10.0	8.283085
11.0	8.88247
12.0	9.448966
13.0	9.984379
14.0	10.490414
15.0	10.968682
16.0	11.420708
17.0	11.847932
18.0	12.251713
19.0	12.633339
20.0	12.994026
21.0	13.334921
22.0	13.657112
23.0	13.961624
24.0	14.249427
25.0	14.521439
26.0	14.778525
27.0	15.021505
28.0	15.251153
29.0	15.468199
30.0	15.673337
31.0	15.867219
32.0	16.050462
33.0	16.223651
34.0	16.387337
35.0	16.542041
36.0	16.688257
37.0	16.82645
38.0	16.95706
39.0	17.080504
40.0	17.197175
41.0	17.307443
42.0	17.411662
43.0	17.510161
44.0	17.603256
45.0	17.691243
46.0	17.774403
47.0	17.852999
48.0	17.927282
49.0	17.99749
50.0	18.063846
51.0	18.12656
52.0	18.185833
53.0	18.241854
54.0	18.294801
55.0	18.344843
56.0	18.39214
57.0	18.436841
58.0	18.479089
59.0	18.519019
60.0	18.556758
61.0	18.592426
62.0	18.626138
63.0	18.657999
64.0	18.688112
65.0	18.716573
66.0	18.743473
67.0	18.768896
68.0	18.792924
69.0	18.815634
70.0	18.837098
71.0	18.857384
72.0	18.876557
73.0	18.894678
74.0	18.911805
75.0	18.927992
76.0	18.943291
77.0	18.95775
78.0	18.971416
79.0	18.984332
80.0	18.996539
81.0	19.008077
82.0	19.018981
83.0	19.029288
84.0	19.039028
85.0	19.048235
86.0	19.056936
87.0	19.065159
88.0	19.072932
89.0	19.080278
90.0	19.08722
91.0	19.093782
92.0	19.099984
93.0	19.105846
94.0	19.111386
95.0	19.116622
96.0	19.12157
97.0	19.126247
98.0	19.130668
99.0	19.134846
100.0	19.138795

