## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=out___/s_RA17_22_32_1___INSHist.pdf INPUT=out___/s_RA17_22_32_1.bam OUTPUT=out___/s_RA17_22_32_1___INS.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jan 23 22:51:58 EST 2018

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
409	106	2	246567507	435.286551	165.533376	1082253074	FR	41	83	123	167	213	263	321	403	543	1009			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	4113
3	4104
4	4379
5	4219
6	4314
7	4173
8	4304
9	4295
10	4409
11	4595
12	4512
13	4675
14	4670
15	4808
16	4892
17	4987
18	5060
19	10743
20	9128
21	7264
22	6345
23	5831
24	5719
25	5807
26	5762
27	5605
28	5624
29	5734
30	5625
31	5665
32	5676
33	5776
34	5944
35	6016
36	6051
37	6085
38	6406
39	6449
40	6468
41	6806
42	6880
43	7168
44	7336
45	7510
46	7920
47	8234
48	8378
49	8696
50	9028
51	9909
52	9333
53	9628
54	11287
55	10229
56	10487
57	10419
58	10950
59	11551
60	11730
61	12247
62	12224
63	12929
64	13136
65	13414
66	13720
67	14204
68	14726
69	15335
70	15976
71	16570
72	17164
73	17504
74	18167
75	78405
76	80950
77	83484
78	85342
79	87144
80	88874
81	91053
82	92321
83	94847
84	96477
85	99684
86	102013
87	103253
88	107708
89	111101
90	111982
91	113418
92	114557
93	116601
94	119791
95	122101
96	123754
97	126755
98	129941
99	132817
100	135511
101	137565
102	139334
103	142962
104	146428
105	148248
106	151356
107	155546
108	159394
109	163102
110	166224
111	168039
112	170817
113	174184
114	177736
115	181776
116	184601
117	187840
118	193825
119	197267
120	199900
121	204058
122	207307
123	210485
124	215747
125	218739
126	222808
127	227504
128	232864
129	236871
130	244249
131	250612
132	253716
133	259083
134	264375
135	268884
136	274493
137	280328
138	286471
139	292925
140	299659
141	304058
142	310807
143	316002
144	322090
145	329271
146	333933
147	339590
148	346646
149	354952
150	362627
151	369315
152	376493
153	382890
154	389739
155	398088
156	403761
157	412726
158	419931
159	429051
160	437598
161	444994
162	454108
163	463489
164	472440
165	480601
166	490386
167	499117
168	507748
169	518838
170	529205
171	539381
172	546991
173	558813
174	568127
175	579457
176	590712
177	600286
178	613275
