## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=out___/s_RA17_22_35_1___INSHist.pdf INPUT=out___/s_RA17_22_35_1.bam OUTPUT=out___/s_RA17_22_35_1___INS.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:01:21 EST 2018

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
403	106	2	247388191	432.619962	171.889767	996878365	FR	41	83	125	167	213	265	325	409	559	1093			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	4246
3	4315
4	4257
5	4338
6	4332
7	4288
8	4529
9	4369
10	4446
11	4645
12	4633
13	4625
14	4848
15	4739
16	4859
17	4887
18	4915
19	6932
20	6727
21	6323
22	5880
23	5680
24	5547
25	5716
26	5580
27	5570
28	5727
29	5834
30	5906
31	5877
32	6074
33	6185
34	6413
35	6452
36	6713
37	6691
38	7124
39	7293
40	7236
41	7505
42	7688
43	8108
44	8005
45	8215
46	8520
47	8625
48	8614
49	9035
50	8983
51	10314
52	9586
53	9628
54	10997
55	10200
56	10463
57	10509
58	11094
59	11518
60	11376
61	11588
62	12259
63	12459
64	12952
65	13595
66	14049
67	14176
68	14682
69	15437
70	15906
71	16477
72	16992
73	17290
74	18224
75	92398
76	94878
77	96653
78	98904
79	101837
80	103396
81	105939
82	107373
83	110062
84	113083
85	115665
86	117497
87	119313
88	122762
89	125057
90	128153
91	130229
92	131947
93	134652
94	137173
95	138774
96	143058
97	145302
98	148345
99	151434
100	153459
101	156759
102	159566
103	162645
104	165499
105	169121
106	171578
107	174849
108	177271
109	182002
110	184790
111	187686
112	191429
113	194208
114	198146
115	202902
116	206381
117	210105
118	214133
119	218955
120	221622
121	225800
122	228971
123	234942
124	238181
125	243581
126	248478
127	253760
128	256999
129	263184
130	268186
131	273533
132	278142
133	282792
134	287557
135	292718
136	298588
137	303690
138	310127
139	314558
140	320630
141	326249
142	333705
143	339727
144	345274
145	352305
146	357964
147	364204
148	370991
149	376729
150	384514
151	391563
152	398396
153	405418
154	412647
155	420032
156	426986
157	434133
158	442364
159	452592
160	456888
161	466140
162	474738
163	483319
164	493097
165	501039
166	511023
167	519514
168	529302
169	537201
170	546814
171	556711
172	566854
173	577368
174	585441
175	597244
176	607305
177	619012
178	630871
179	641336
180	651939
181	664962
182	674165
183	686420
184	697638
185	710057
186	722312
187	735742
188	748122
189	759763
190	772376
191	784119
192	799429
193	811858
194	823925
195	838444
196	854151
197	866803
198	881845
199	896126
200	910358
201	923358
202	938461
203	953957
204	968328
205	986124
206	1000038
207	1015941
208	1032406
209	1048993
210	1064391
211	1079405
212	1097354
213	1111061
214	1129729
215	1145121
216	1162817
217	1182614
218	1199209
219	1216351
