## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_39_6.bam OUTPUT=out___/s_RA17_22_39_6___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:55:53 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	111.784355	36.135306	110	19	0.05854	0	0.000459	0.020031	0.051056	0.029801	0.159886	0.98023	0.978441	0.977012	0.975701	0.97449	0.973336	0.97092	0.966972	0.95427	0.919228	0.862279	0.783197	0.661662

## HISTOGRAM	java.lang.Integer
coverage	count
0	49081174
1	3265687
2	2047290
3	1594533
4	1352687
5	1198890
6	1091454
7	1023214
8	962377
9	914387
10	877536
11	846054
12	822081
13	805885
14	791984
15	780882
16	772643
17	760680
18	749125
19	739620
20	723283
21	712192
22	699256
23	692522
24	683675
25	676371
26	673168
27	667533
28	666121
29	665168
30	663549
31	665000
32	668378
33	675419
34	684481
35	695403
36	709507
37	725285
38	747953
39	771493
40	804856
41	842188
42	894092
43	954236
44	1029148
45	1119973
46	1228370
47	1357213
48	1517471
49	1705208
50	1925816
51	2186234
52	2491234
53	2841970
54	3250042
55	3706098
56	4213588
57	4779945
58	5392761
59	6052775
60	6753658
61	7484141
62	8246707
63	9017946
64	9799925
65	10584415
66	11344468
67	12091981
68	12820395
69	13491796
70	14126607
71	14731939
72	15305021
73	15837993
74	16344962
75	16816940
76	17294334
77	17752189
78	18230322
79	18736625
80	19286664
81	19879660
82	20553501
83	21306406
84	22135577
85	23052870
86	24062917
87	25156766
88	26341989
89	27597141
90	28936307
91	30317697
92	31763012
93	33205197
94	34656549
95	36087300
96	37472865
97	38802153
98	40054488
99	41208644
100	42251061
101	43168915
102	43942767
103	44585271
104	45066603
105	45361788
106	45513396
107	45501827
108	45322192
109	44983732
110	44509721
111	43913465
112	43197678
113	42383469
114	41479940
115	40501635
116	39453243
117	38382749
118	37269978
119	36155047
120	35023043
121	33907051
122	32800661
123	31722123
124	30655085
125	29625840
126	28645290
127	27709030
128	26832365
129	25998117
130	25200066
131	24448678
132	23742198
133	23072379
134	22439605
135	21837839
136	21260825
137	20712145
138	20195625
139	19682664
140	19194262
141	18726906
142	18266907
143	17809684
144	17358692
145	16919162
146	16475180
147	16029605
148	15590281
149	15145697
150	14701443
151	14260043
152	13832228
153	13389681
154	12960461
155	12529373
156	12096883
157	11680595
158	11260058
159	10842611
160	10436295
161	10032364
162	9633372
163	9244355
164	8865947
165	8497115
166	8140726
167	7797170
168	7455955
169	7128757
170	6815508
171	6515430
172	6218658
173	5940251
174	5668650
175	5407895
176	5166145
177	4926694
178	4703645
179	4478836
180	4273906
181	4073528
182	3881693
183	3702040
184	3528386
185	3364114
186	3201827
187	3050637
188	2908383
189	2767608
190	2638612
191	2514408
192	2390822
193	2279838
194	2166027
195	2057605
196	1958076
197	1862756
198	1770510
199	1685060
200	1602645
201	1522390
202	1446858
203	1373299
204	1304856
205	1238634
206	1176614
207	1116889
208	1060016
209	1007136
210	953796
211	905051
212	859532
213	816949
214	777055
215	735557
216	700215
217	665567
218	632415
219	600405
220	571768
221	542937
222	518627
223	494163
224	470461
225	447334
226	427663
227	408160
228	388394
229	371525
230	356948
231	340826
232	326152
233	313544
234	299760
235	288211
236	276691
237	265422
238	255184
239	245324
240	236207
241	227049
242	218471
243	210750
244	204355
245	196446
246	190427
247	183551
248	177649
249	171654
250	12311200

