## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectGcBiasMetrics REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta INPUT=out___/s_RA17_22_41_3.bam OUTPUT=out___/s_RA17_22_41_3___GCB.txt CHART_OUTPUT=out___/s_RA17_22_41_3___GCB.pdf SUMMARY_OUTPUT=out___/s_RA17_22_41_3___GCBsummary.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    WINDOW_SIZE=100 MINIMUM_GENOME_FRACTION=1.0E-5 ASSUME_SORTED=false IS_BISULFITE_SEQUENCED=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 02:04:49 EST 2018

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
0	147859	46562	16	0.484661	0.002246
1	108735	16536	15	0.234054	0.00182
2	125328	20747	16	0.254778	0.001769
3	161707	117785	20	1.121025	0.003266
4	172430	45675	16	0.407681	0.001908
5	176048	47150	17	0.412197	0.001898
6	197132	58382	17	0.455802	0.001886
7	207827	68020	18	0.50372	0.001931
8	233446	84146	18	0.554755	0.001912
9	260866	103453	18	0.610351	0.001898
10	302776	130340	18	0.662538	0.001835
11	366886	175749	18	0.737252	0.001759
12	475988	242325	19	0.783531	0.001592
13	625806	342346	20	0.841937	0.001439
14	884586	480728	20	0.836399	0.001206
15	1299770	743674	21	0.880583	0.001021
16	1939300	1150570	21	0.913108	0.000851
17	2908647	1842887	22	0.975129	0.000718
18	4359342	2752921	22	0.971912	0.000586
19	6430002	4102689	22	0.982001	0.000485
20	9284118	5944627	22	0.985458	0.000404
21	13051720	8310850	23	0.980013	0.00034
22	17810187	11189293	23	0.966915	0.000289
23	23626936	14590610	23	0.95043	0.000249
24	30480566	18511984	24	0.934726	0.000217
25	38211236	22989915	24	0.925978	0.000193
26	46523994	27787449	25	0.919234	0.000174
27	55206768	32828829	25	0.915203	0.00016
28	63974508	38019910	25	0.914657	0.000148
29	72527056	43173327	25	0.916157	0.000139
30	80679703	48107259	25	0.9177	0.000132
31	88258407	52877258	25	0.922077	0.000127
32	94991572	57513212	25	0.93183	0.000123
33	100740761	61927698	25	0.946093	0.00012
34	105345024	66158794	24	0.966558	0.000119
35	108891484	70087505	24	0.990606	0.000118
36	111158823	73243595	24	1.014098	0.000118
37	111918627	75363476	23	1.036365	0.000119
38	110882356	76290985	23	1.058925	0.000121
39	108379615	75873032	22	1.077442	0.000124
40	104836501	73718884	22	1.082232	0.000126
41	100572106	70042956	22	1.071868	0.000128
42	95856492	65810825	22	1.056647	0.00013
43	91174666	61598835	22	1.039807	0.000132
44	86951806	57408158	23	1.01613	0.000134
45	83368003	54182664	23	1.000265	0.000136
46	80367152	51220611	24	0.98089	0.000137
47	77839892	49377350	24	0.976292	0.000139
48	75195920	47558547	24	0.973394	0.000141
49	71904126	45441017	24	0.972632	0.000144
50	67723470	42850724	24	0.973808	0.000149
51	62843327	39742358	24	0.973304	0.000154
52	57797477	36641370	24	0.975702	0.000161
53	53096114	33774330	24	0.97899	0.000168
54	48909387	31302496	24	0.985011	0.000176
55	45220793	29212910	24	0.994239	0.000184
56	41676495	27182815	24	1.003824	0.000193
57	37911902	24987455	24	1.01438	0.000203
58	33761496	22492474	23	1.025344	0.000216
59	29258970	19716868	23	1.03713	0.000234
60	24743566	16904753	23	1.051479	0.000256
61	20577658	14283826	23	1.068324	0.000283
62	17020594	12046493	23	1.089282	0.000314
63	14078001	10155746	23	1.110261	0.000348
64	11648917	8585310	22	1.134291	0.000387
65	9624766	7230866	22	1.156257	0.00043
66	7943555	6093644	22	1.180637	0.000478
67	6468111	5056711	22	1.20322	0.000535
68	5185515	4154111	21	1.232936	0.000605
69	4154938	3380372	21	1.252144	0.000681
70	3335654	2746879	21	1.267397	0.000765
71	2671391	2222301	21	1.280323	0.000859
72	2159293	1817016	20	1.295094	0.000961
73	1761243	1517974	20	1.326476	0.001077
74	1448491	1279222	20	1.359203	0.001202
75	1216775	1110762	20	1.404963	0.001333
76	1047070	962767	20	1.415141	0.001442
77	919438	863001	19	1.444585	0.001555
78	816646	781834	19	1.473448	0.001666
79	713614	675979	19	1.457888	0.001773
80	608483	573048	19	1.449428	0.001915
81	510800	495829	18	1.493947	0.002122
82	428056	422046	18	1.517447	0.002336
83	351779	355287	18	1.554403	0.002608
84	274259	303127	18	1.701053	0.00309
85	198758	227960	18	1.765177	0.003697
86	131616	167524	17	1.958947	0.004786
87	85463	117279	17	2.112012	0.006167
88	58702	75587	17	1.981748	0.007208
89	38045	57514	17	2.326645	0.009702
90	24959	35564	16	2.192995	0.011629
91	15854	48814	17	4.738706	0.021448
92	9379	14784	16	2.425994	0.019952
93	5880	11580	16	3.030997	0.028166
94	3408	16466	15	7.436058	0.057949
95	1663	433593	17	401.276977	0.609401
96	986	98586	16	153.883679	0.4901
97	658	508678	15	1189.792678	1.668207
98	328	521957	16	2449.148468	3.389985
99	133	213096	15	2465.913778	5.341832
100	339	188	14	0.853517	0.062249


