## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates INPUT=[out___/s_RA17_22_4_1.bam] OUTPUT=out___/s_RA17_22_4_1___MD.bam METRICS_FILE=out___/s_RA17_22_4_1___MD.txt TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT CREATE_INDEX=true REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:34:47 EST 2018

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
s_RA17_22_4_1	1198636	1130669867	1836946	527545	82561460	63958786	0.073214	30226960877

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.058845
2.0	2.078814
3.0	3.061335
4.0	4.007783
5.0	4.919482
6.0	5.797708
7.0	6.643689
8.0	7.458611
9.0	8.243613
10.0	8.999793
11.0	9.72821
12.0	10.429883
13.0	11.105794
14.0	11.756889
15.0	12.38408
16.0	12.988242
17.0	13.570223
18.0	14.130837
19.0	14.670867
20.0	15.191071
21.0	15.692175
22.0	16.174881
23.0	16.639864
24.0	17.087776
25.0	17.519242
26.0	17.934867
27.0	18.335233
28.0	18.720898
29.0	19.092405
30.0	19.450271
31.0	19.794998
32.0	20.127069
33.0	20.446948
34.0	20.755082
35.0	21.051903
36.0	21.337826
37.0	21.613252
38.0	21.878565
39.0	22.134138
40.0	22.380327
41.0	22.617477
42.0	22.84592
43.0	23.065976
44.0	23.277952
45.0	23.482146
46.0	23.678843
47.0	23.868318
48.0	24.050837
49.0	24.226654
50.0	24.396016
51.0	24.55916
52.0	24.716314
53.0	24.867699
54.0	25.013525
55.0	25.153997
56.0	25.289312
57.0	25.419659
58.0	25.54522
59.0	25.666171
60.0	25.782681
61.0	25.894913
62.0	26.003025
63.0	26.107168
64.0	26.207487
65.0	26.304123
66.0	26.397211
67.0	26.486881
68.0	26.573259
69.0	26.656465
70.0	26.736617
71.0	26.813826
72.0	26.8882
73.0	26.959843
74.0	27.028856
75.0	27.095335
76.0	27.159374
77.0	27.221061
78.0	27.280483
79.0	27.337724
80.0	27.392863
81.0	27.445978
82.0	27.497142
83.0	27.546428
84.0	27.593905
85.0	27.639638
86.0	27.683693
87.0	27.72613
88.0	27.767008
89.0	27.806386
90.0	27.844318
91.0	27.880858
92.0	27.916056
93.0	27.949962
94.0	27.982622
95.0	28.014084
96.0	28.044391
97.0	28.073584
98.0	28.101706
99.0	28.128796
100.0	28.154891

